id,node1_id,node2_id,rating,confidence,mode,user_id,extra_fields
4832,5940,4858,0.0,,rapid_feedback,3,{}
4888,3608,12197,0.5,1.0,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 40733}"
4944,231,12980,0.5,0.5,rapid_feedback,23,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 10177}"
5000,3445,8640,0.0,1.0,rapid_feedback,16,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 31056}"
5056,1269,3838,0.5,0.5,rapid_feedback,12,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 125077}"
5112,546,8024,0.0,0.5,rapid_feedback,14,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 21983}"
5168,2318,6366,0.0,1.0,rapid_feedback,13,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 41035}"
5224,1765,10214,0.0,1.0,rapid_feedback,26,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 97138}"
5280,671,8412,0.0,0.5,rapid_feedback,14,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 8110}"
5336,10236,14214,0.0,1.0,rapid_feedback,13,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 13911}"
5392,2868,4875,0.0,1.0,rapid_feedback,12,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 15932}"
5448,838,2551,0.0,,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 19109}"
4833,8624,1663,0.0,,rapid_feedback,3,{}
4889,1585,3870,0.0,1.0,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 29892}"
4945,224,5693,0.5,1.0,rapid_feedback,16,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 156516}"
5001,5,13933,0.5,1.0,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 22803}"
5057,4347,5052,1.0,,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 14399}"
5113,2469,9342,0.5,0.5,rapid_feedback,23,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 30496}"
5169,2658,9774,0.0,1.0,rapid_feedback,12,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 24765}"
5225,3515,7547,1.0,1.0,rapid_feedback,23,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 33654}"
5281,328,7280,1.0,1.0,rapid_feedback,12,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 36719}"
5337,4851,10540,0.0,,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 14200}"
5449,3795,13085,0.0,1.0,rapid_feedback,14,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 10879}"
4834,11201,4624,0.0,,rapid_feedback,3,{}
4890,3354,8632,0.5,1.0,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 18741}"
4946,3099,8126,0.5,0.5,rapid_feedback,10,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 231255}"
5002,2521,3366,0.5,1.0,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 15831}"
5058,11292,14338,0.5,0.0,rapid_feedback,16,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 210355}"
5114,1747,3637,0.0,1.0,rapid_feedback,12,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 47646}"
5170,3865,14427,0.0,0.5,rapid_feedback,23,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 34184}"
5226,1672,4450,0.0,,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 36506}"
5282,618,12275,0.0,1.0,rapid_feedback,12,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 13983}"
5338,2015,4470,0.0,1.0,rapid_feedback,12,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 55688}"
5394,30,8278,0.5,1.0,rapid_feedback,26,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 85421}"
5450,10021,14226,0.5,0.5,rapid_feedback,26,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 49728}"
4947,2865,6572,0.5,,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 20383}"
5003,5059,10476,0.0,1.0,rapid_feedback,13,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 43070}"
5059,1607,14520,0.5,0.5,rapid_feedback,23,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 113432}"
5115,1632,4779,0.0,1.0,rapid_feedback,26,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 158783}"
5171,1575,14418,0.5,0.5,rapid_feedback,26,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 51949}"
5227,4021,5003,0.0,1.0,rapid_feedback,14,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 19444}"
5283,3100,8936,0.0,0.5,rapid_feedback,23,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 52736}"
5339,177,13228,0.5,,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 12326}"
5395,857,1931,1.0,0.5,rapid_feedback,26,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 77642}"
5451,3530,5976,0.0,0.5,rapid_feedback,14,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 25495}"
4892,232,13806,1.0,1.0,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 23281}"
4948,1414,2485,0.5,0.0,rapid_feedback,14,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 154263}"
5004,681,7166,1.0,0.5,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 22920}"
5060,1572,6801,0.0,,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 10381}"
5116,9994,14326,0.5,0.5,rapid_feedback,14,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 13179}"
5172,3454,13378,0.5,0.0,rapid_feedback,13,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 153087}"
5228,611,12289,0.5,,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 18074}"
5284,941,1834,0.5,0.5,rapid_feedback,14,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 29199}"
5340,11743,14538,0.0,,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 9793}"
5396,484,12239,0.0,0.0,rapid_feedback,26,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 45128}"
5452,1248,2674,1.0,0.5,rapid_feedback,13,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 78676}"
4893,3081,10979,0.5,0.5,rapid_feedback,14,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 27847}"
4949,4410,4998,1.0,1.0,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 24072}"
5005,2839,12310,1.0,0.5,rapid_feedback,23,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 199904}"
5061,2384,4141,0.0,0.5,rapid_feedback,14,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 30021}"
5117,1975,10693,0.0,,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 112692}"
5173,3073,8621,0.0,1.0,rapid_feedback,23,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 44181}"
5229,3347,8805,0.0,0.5,rapid_feedback,23,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 22446}"
5285,128,2869,0.5,1.0,rapid_feedback,12,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 22623}"
5341,4218,14236,0.0,1.0,rapid_feedback,13,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 35186}"
5397,2592,14392,0.0,0.5,rapid_feedback,12,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 150921}"
5453,997,4630,0.0,,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 34511}"
4894,3270,4251,0.0,1.0,rapid_feedback,16,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 69374}"
4950,3513,7109,0.0,0.0,rapid_feedback,14,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 23364}"
5006,2469,9204,0.5,1.0,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 14745}"
5062,3324,5875,0.5,0.5,rapid_feedback,12,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 23520}"
5118,3394,5878,0.0,1.0,rapid_feedback,14,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 36851}"
5174,723,5530,0.0,1.0,rapid_feedback,13,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 23227}"
5230,1559,8976,1.0,,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 7570}"
5286,3278,12413,0.0,1.0,rapid_feedback,14,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 15075}"
5342,1628,14158,0.5,0.5,rapid_feedback,12,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 23526}"
5398,4756,14603,0.0,1.0,rapid_feedback,26,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 111703}"
5454,634,12246,1.0,,rapid_feedback,25,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 6432}"
4839,774,6387,0.5,0.5,rapid_feedback,13,"{""comment"": ""content match, a judgement on the content being one of probability. "", ""is_dev_build"": false, ""time_for_judgment"": 530670}"
4895,2750,8472,0.5,0.5,rapid_feedback,14,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 19782}"
4951,1232,3409,0.0,1.0,rapid_feedback,23,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 92038}"
5007,312,13817,1.0,0.5,rapid_feedback,23,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 60868}"
5119,1591,2007,1.0,1.0,rapid_feedback,27,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 112327}"
5175,625,6531,0.0,0.5,rapid_feedback,13,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 20318}"
5231,1647,2431,0.0,0.5,rapid_feedback,14,"{""comment"": """", ""is_dev_build"": false, ""time_for_judgment"": 18008}"
