id,document_id,depth,dist_from_leaf,parent_id,sort_order,identifier,kind,title,time_units,notes,extra_fields
1,1,1,5,,1.0,CCSSM,document,Common Core State Standards for Mathematics,,,{}
2,1,2,4,1,1.0,CCSSM.K,level,Grade K,,,{}
3,1,3,3,2,1.0,CCSS.Math.Content.K.CC,topic,Counting and Cardinality,,,{}
4,1,4,1,3,1.0,CCSS.Math.Content.K.CC.A,topic,Know number names and the count sequence.,,,{}
5,1,5,0,4,1.0,CCSS.Math.Content.K.CC.A.1,unit,Count to 100 by ones and by tens.,,,{}
6,1,5,0,4,2.0,CCSS.Math.Content.K.CC.A.2,unit,Count forward beginning from a given number within the known sequence (instead of having to begin at 1).,,,{}
7,1,5,0,4,3.0,CCSS.Math.Content.K.CC.A.3,unit,Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).,,,{}
8,1,4,2,3,2.0,CCSS.Math.Content.K.CC.B,topic,Count to tell the number of objects.,,,{}
9,1,5,1,8,1.0,CCSS.Math.Content.K.CC.B.4,unit,Understand the relationship between numbers and quantities; connect counting to cardinality.,,,{}
10,1,6,0,9,1.0,CCSS.Math.Content.K.CC.B.4a,learning_objective,"When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object.",,,{}
11,1,6,0,9,2.0,CCSS.Math.Content.K.CC.B.4b,learning_objective,Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted.,,,{}
12,1,6,0,9,3.0,CCSS.Math.Content.K.CC.B.4c,learning_objective,Understand that each successive number name refers to a quantity that is one larger.,,,{}
13,1,5,0,8,2.0,CCSS.Math.Content.K.CC.B.5,unit,"Count to answer ""how many?"" questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1—20, count out that many objects.",,,{}
14,1,4,1,3,3.0,CCSS.Math.Content.K.CC.C,topic,Compare numbers.,,,{}
15,1,5,0,14,1.0,CCSS.Math.Content.K.CC.C.6,unit,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.",,,{}
16,1,5,0,14,2.0,CCSS.Math.Content.K.CC.C.7,unit,Compare two numbers between 1 and 10 presented as written numerals.,,,{}
17,1,3,2,2,2.0,CCSS.Math.Content.K.OA,topic,Operations and Algebraic Thinking,,,{}
18,1,4,1,17,1.0,CCSS.Math.Content.K.OA.A,topic,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",,,{}
19,1,5,0,18,1.0,CCSS.Math.Content.K.OA.A.1,unit,"Represent addition and subtraction with objects, fingers, mental images, drawings, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations.",,,{}
20,1,5,0,18,2.0,CCSS.Math.Content.K.OA.A.2,unit,"Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem.",,,{}
21,1,5,0,18,3.0,CCSS.Math.Content.K.OA.A.3,unit,"Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1).",,,{}
22,1,5,0,18,4.0,CCSS.Math.Content.K.OA.A.4,unit,"For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation.",,,{}
23,1,5,0,18,5.0,CCSS.Math.Content.K.OA.A.5,unit,Fluently add and subtract within 5.,,,{}
24,1,3,2,2,3.0,CCSS.Math.Content.K.NBT,topic,Number and Operations in Base Ten,,,{}
25,1,4,1,24,1.0,CCSS.Math.Content.K.NBT.A,topic,Work with numbers 11—19 to gain foundations for place value.,,,{}
26,1,5,0,25,1.0,CCSS.Math.Content.K.NBT.A.1,unit,"Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (e.g., 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones.",,,{}
27,1,3,2,2,4.0,CCSS.Math.Content.K.MD,topic,Measurement and Data,,,{}
28,1,4,1,27,1.0,CCSS.Math.Content.K.MD.A,topic,Describe and compare measurable attributes.,,,{}
29,1,5,0,28,1.0,CCSS.Math.Content.K.MD.A.1,unit,"Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object.",,,{}
30,1,5,0,28,2.0,CCSS.Math.Content.K.MD.A.2,unit,"Directly compare two objects with a measurable attribute in common, to see which object has ""more of""/""less of"" the attribute, and describe the difference.",,,{}
31,1,4,1,27,2.0,CCSS.Math.Content.K.MD.B,topic,Classify objects and count the number of objects in each category.,,,{}
32,1,5,0,31,1.0,CCSS.Math.Content.K.MD.B.3,unit,Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.,,,{}
33,1,3,2,2,5.0,CCSS.Math.Content.K.G,topic,Geometry,,,{}
34,1,4,1,33,1.0,CCSS.Math.Content.K.G.A,topic,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).",,,{}
35,1,5,0,34,1.0,CCSS.Math.Content.K.G.A.1,unit,"Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to.",,,{}
36,1,5,0,34,2.0,CCSS.Math.Content.K.G.A.2,unit,Correctly name shapes regardless of their orientations or overall size.,,,{}
